route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
36,1,36,Claremont - Dwight - Adeline,,3,http://www.actransit.org/bus-lines-schedules/36,2B589C,FFFFFF
40,1,40,Foothill - Bancroft - Bay Fair,,3,http://www.actransit.org/bus-lines-schedules/40,A30D11,FFFFFF
41,1,41,Whitman - Huntwood - Union Landg,,3,http://www.actransit.org/bus-lines-schedules/41,07B5D0,000000
45,1,45,Seminary - Sobrante Park,,3,http://www.actransit.org/bus-lines-schedules/45,2B589C,FFFFFF
46L,1,46L,82nd Ave. - Grass Valley Limited,,3,http://www.actransit.org/bus-lines-schedules/46L,07B5D0,000000
51A,1,51A,Broadway - Santa Clara,,3,http://www.actransit.org/bus-lines-schedules/51A,A30D11,FFFFFF
51B,1,51B,University - College - Rockridge,,3,http://www.actransit.org/bus-lines-schedules/51B,A30D11,FFFFFF
52,1,52,UC Village - Cedar - UC Campus,,3,http://www.actransit.org/bus-lines-schedules/52,A30D11,FFFFFF
54,1,54,35th Ave. - Merritt College,,3,http://www.actransit.org/bus-lines-schedules/54,2B589C,FFFFFF
56,1,56,Santa Clara - Weekes - Huntwood,,3,http://www.actransit.org/bus-lines-schedules/56,07B5D0,000000
57,1,57,40th St. - MacArthur,,3,http://www.actransit.org/bus-lines-schedules/57,A30D11,FFFFFF
6,1,6,Berkeley - Telegraph - Oakland,,3,http://www.actransit.org/bus-lines-schedules/6,A30D11,FFFFFF
60,1,60,CSUEB - Southland - Tennyson,,3,http://www.actransit.org/bus-lines-schedules/60,07B5D0,000000
62,1,62,7th St. - San Antonio - 23rd Av.,,3,http://www.actransit.org/bus-lines-schedules/62,2B589C,FFFFFF
620,1,620,Newark Middle - Cedar,,3,http://www.actransit.org/bus-lines-schedules/620,595959,FFFFFF
627,1,627,Newark Memorial-Cedar-Newark Bl.,,3,http://www.actransit.org/bus-lines-schedules/627,595959,FFFFFF
629,1,629,Newark Memorial - Cherry - Haley,,3,http://www.actransit.org/bus-lines-schedules/629,595959,FFFFFF
65,1,65,Grizzly Peak - Euclid,,3,http://www.actransit.org/bus-lines-schedules/65,07B5D0,000000
67,1,67,Spruce - Oxford,,3,http://www.actransit.org/bus-lines-schedules/67,07B5D0,000000
7,1,7,Arlington - Shattuck - Stanford,,3,http://www.actransit.org/bus-lines-schedules/7,07B5D0,000000
70,1,70,Rheem - San Pablo Dam - Appian,,3,http://www.actransit.org/bus-lines-schedules/70,2B589C,FFFFFF
701,1,701,Pittsburg/BP Transbay Early Bird,,3,http://www.actransit.org/bus-lines-schedules/701,492F92,FFFFFF
702,1,702,Pleas Hill Transbay Early Bird,,3,http://www.actransit.org/bus-lines-schedules/702,492F92,FFFFFF
703,1,703,Dubl/Plsntn Transbay Early Bird,,3,http://www.actransit.org/bus-lines-schedules/703,492F92,FFFFFF
71,1,71,Parchester - Rumrill - Carlson,,3,http://www.actransit.org/bus-lines-schedules/71,2B589C,FFFFFF
72,1,72,CCC - San Pablo,,3,http://www.actransit.org/bus-lines-schedules/72,2B589C,FFFFFF
72L,1,72L,San Pablo Limited,,3,http://www.actransit.org/bus-lines-schedules/72L,2B589C,FFFFFF
72M,1,72M,Macdonald - San Pablo,,3,http://www.actransit.org/bus-lines-schedules/72M,2B589C,FFFFFF
73,1,73,73rd Ave. - Coliseum - Airport,,3,http://www.actransit.org/bus-lines-schedules/73,2B589C,FFFFFF
74,1,74,San Pablo Dam - 23rd St.,,3,http://www.actransit.org/bus-lines-schedules/74,2B589C,FFFFFF
76,1,76,Cutting - Market - Moyers,,3,http://www.actransit.org/bus-lines-schedules/76,2B589C,FFFFFF
800,1,800,Rich - Oak Transbay All Nighter,,3,http://www.actransit.org/bus-lines-schedules/800,BC8E2D,000000
801,1,801,E 14th - Mission  All Nighter,,3,http://www.actransit.org/bus-lines-schedules/801,BC8E2D,000000
802,1,802,San Pablo All Nighter,,3,http://www.actransit.org/bus-lines-schedules/802,BC8E2D,000000
805,1,805,MacArthur - Airport All Nighter,,3,http://www.actransit.org/bus-lines-schedules/805,BC8E2D,000000
840,1,840,Foothill - Eastmont All Nighter,,3,http://www.actransit.org/bus-lines-schedules/840,BC8E2D,000000
851,1,851,Santa Clara-Broadway All Nighter,,3,http://www.actransit.org/bus-lines-schedules/851,BC8E2D,000000
86,1,86,Winton - Industrial - Tennyson,,3,http://www.actransit.org/bus-lines-schedules/86,07B5D0,000000
88,1,88,Sacramento - Market- Oakland Ave,,3,http://www.actransit.org/bus-lines-schedules/88,2B589C,FFFFFF
9,1,9,E. 14th St. - Mission,,3,http://www.actransit.org/bus-lines-schedules/9,A30D11,FFFFFF
90,1,90,85th Ave. - Elmhurst - 90th Ave.,,3,http://www.actransit.org/bus-lines-schedules/90,2B589C,FFFFFF
93,1,93,Ashland - San Lorenzo - A St.,,3,http://www.actransit.org/bus-lines-schedules/93,07B5D0,000000
95,1,95,D St. - Maud - Fairview,,3,http://www.actransit.org/bus-lines-schedules/95,07B5D0,000000
96,1,96,Alameda Pt. - 14th Ave. - Dimond,,3,http://www.actransit.org/bus-lines-schedules/96,2B589C,FFFFFF
97,1,97,Hesperian - Alvarado - Decoto,,3,http://www.actransit.org/bus-lines-schedules/97,2B589C,FFFFFF
98,1,98,Eastmont - 98th Ave. - Edgewater,,3,http://www.actransit.org/bus-lines-schedules/98,2B589C,FFFFFF
E,1,E,Tunnel Rd. - Claremont Transbay,,3,http://www.actransit.org/bus-lines-schedules/E,BC8E2D,000000
F,1,F,Adeline - Market Transbay,,3,http://www.actransit.org/bus-lines-schedules/F,2B589C,FFFFFF
FS,1,FS,Shattuck - University Transbay,,3,http://www.actransit.org/bus-lines-schedules/FS,BC8E2D,000000
G,1,G,Colusa - Solano Transbay,,3,http://www.actransit.org/bus-lines-schedules/G,BC8E2D,000000
J,1,J,Sacramento -  Christie Transbay,,3,http://www.actransit.org/bus-lines-schedules/J,BC8E2D,000000
L,1,L,San Pablo - Pierce Transbay,,3,http://www.actransit.org/bus-lines-schedules/L,BC8E2D,000000
NL,1,NL,MacArthur Transbay Limited,,3,http://www.actransit.org/bus-lines-schedules/NL,2B589C,FFFFFF
NX,1,NX,Grand Lake - Laurel  Transbay,,3,http://www.actransit.org/bus-lines-schedules/NX,BC8E2D,000000
NX3,1,NX3,MacArthur - Eastmont Transbay,,3,http://www.actransit.org/bus-lines-schedules/NX3,BC8E2D,000000
O,1,O,Santa Clara - Encinal Transbay,,3,http://www.actransit.org/bus-lines-schedules/O,2B589C,FFFFFF
P,1,P,Piedmont - Oakland Ave. Transbay,,3,http://www.actransit.org/bus-lines-schedules/P,BC8E2D,000000
U,1,U,Stanford - Dumbarton - Fremont,,3,http://www.actransit.org/bus-lines-schedules/U,BC8E2D,000000
V,1,V,Montclair - Park Blvd. Transbay,,3,http://www.actransit.org/bus-lines-schedules/V,BC8E2D,000000
W,1,W,Bay Farm - South Shore Transbay,,3,http://www.actransit.org/bus-lines-schedules/W,BC8E2D,000000
