service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20260614,20260808
2,0,0,0,1,1,0,0,20260614,20260808
3,0,0,0,0,1,0,0,20260614,20260808
4,1,1,1,1,1,0,0,20260614,20260808
5,0,0,0,0,0,0,1,20260614,20260808
6,0,0,0,0,0,1,0,20260614,20260808
7,0,0,0,1,0,0,0,20260614,20260808
8,1,1,1,1,0,0,0,20260614,20260808
4-1,1,1,1,1,0,0,1,20260614,20260807
5-1,0,0,0,0,0,1,0,20260614,20260807
6-1,0,0,0,0,1,0,0,20260614,20260807
