trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6091020,12,4,"Northwest Berkeley",,1,12002,shp-12-05,0,0
13561020,12,4,"Northwest Berkeley",,1,12008,shp-12-05,0,0
4512020,12,4,"Northwest Berkeley",,1,12004,shp-12-05,0,0
3787010,12,5,"Northwest Berkeley",,1,12004,shp-12-05,0,0
6295020,12,4,"Northwest Berkeley",,1,12003,shp-12-05,0,0
9382070,12,6,"Northwest Berkeley",,1,12001,shp-12-05,0,0
10309070,12,6,"Northwest Berkeley",,1,12002,shp-12-05,0,0
5004020,12,4,"Northwest Berkeley",,1,12002,shp-12-05,0,0
3144010,12,5,"Northwest Berkeley",,1,12003,shp-12-05,0,0
5026070,12,6,"Northwest Berkeley",,1,12001,shp-12-05,0,0
7507010,12,5,"Northwest Berkeley",,1,12006,shp-12-05,0,0
1719020,12,4,"Northwest Berkeley",,1,12007,shp-12-05,0,0
2238070,12,6,"Northwest Berkeley",,1,12006,shp-12-05,0,0
13782010,12,5,"Northwest Berkeley",,1,12006,shp-12-05,0,0
6418010,12,5,"Northwest Berkeley",,1,12001,shp-12-05,0,0
13598010,12,5,"Northwest Berkeley",,1,12002,shp-12-05,0,0
685070,12,6,"Northwest Berkeley",,1,12004,shp-12-05,0,0
3027020,12,4,"Northwest Berkeley",,1,12004,shp-12-05,0,0
12365020,12,4,"Northwest Berkeley",,1,12007,shp-12-05,0,0
11472010,12,5,"Northwest Berkeley",,1,12005,shp-12-05,0,0
7045020,12,4,"Northwest Berkeley",,1,12005,shp-12-05,0,0
4224020,12,4,"Northwest Berkeley",,1,12002,shp-12-05,0,0
11768020,12,4,"Northwest Berkeley",,1,12005,shp-12-05,0,0
8945020,12,4,"Northwest Berkeley",,1,12007,shp-12-05,0,0
3507010,12,5,"Northwest Berkeley",,1,12001,shp-12-05,0,0
12085020,12,4,"Northwest Berkeley",,1,12003,shp-12-05,0,0
7992020,12,4,"Northwest Berkeley",,1,12009,shp-12-05,0,0
12745010,12,5,"Northwest Berkeley",,1,12003,shp-12-05,0,0
10132020,12,4,"Northwest Berkeley",,1,12001,shp-12-05,0,0
10071010,12,5,"Northwest Berkeley",,1,12006,shp-12-05,0,0
1485020,12,4,"Northwest Berkeley",,1,12004,shp-12-05,0,0
4428010,12,5,"Northwest Berkeley",,1,12002,shp-12-05,0,0
467010,12,5,"Northwest Berkeley",,1,12001,shp-12-05,0,0
3759020,12,4,"Northwest Berkeley",,1,12006,shp-12-05,0,0
9295070,12,6,"Northwest Berkeley",,1,12005,shp-12-05,0,0
3034020,12,4,"Northwest Berkeley",,1,12003,shp-12-05,0,0
4656020,12,4,"Northwest Berkeley",,1,12006,shp-12-05,0,0
2134010,12,5,"Northwest Berkeley",,1,12005,shp-12-05,0,0
13136010,12,5,"Northwest Berkeley",,1,12004,shp-12-05,0,0
1420010,12,5,"Northwest Berkeley",,1,12004,shp-12-05,0,0
8215010,12,5,"Northwest Berkeley",,1,12002,shp-12-05,0,0
5723010,12,5,"Northwest Berkeley",,1,12005,shp-12-05,0,0
346010,12,5,"Northwest Berkeley",,1,12003,shp-12-05,0,0
10932070,12,6,"Northwest Berkeley",,1,12003,shp-12-05,0,0
3863020,12,4,"Northwest Berkeley",,1,12009,shp-12-05,0,0
9362020,12,4,"Northwest Berkeley",,1,12005,shp-12-05,0,0
5565020,12,4,"Northwest Berkeley",,1,12003,shp-12-05,0,0
1355020,12,4,"Northwest Berkeley",,1,12001,shp-12-05,0,0
7960070,12,6,"Northwest Berkeley",,1,12006,shp-12-05,0,0
6827070,12,6,"Northwest Berkeley",,1,12005,shp-12-05,0,0
1926020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
8358070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
9952020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
3762020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
6427020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
893020,12,4,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
10789070,12,6,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
803020,12,4,"Oakland Amtrak at Jack London Square",,0,12008,shp-12-07,0,0
7439010,12,5,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
6514020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
8663020,12,4,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
13258010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
7905070,12,6,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
1217070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
442020,12,4,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
13163020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
10714020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
7728070,12,6,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
8652020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
13294020,12,4,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
3995010,12,5,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
8792070,12,6,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
5666020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
1636070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
6101020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
4097020,12,4,"Oakland Amtrak at Jack London Square",,0,12008,shp-12-07,0,0
4964020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
11560010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
